en.APP.INFO_DRAWER.TITLE,Details,Detalles
en.ANALYTICS_REPORT.NO_REPORT_MESSAGE,No report selected. Choose a report from the list,No se ha seleccionado ningún informe. Elija un informe de la lista.
en.PS-TAB.TASKS-TAB,Tasks,Tareas
en.PS-TAB.PROCESSES-TAB,Process,Proceso
en.PS-TAB.REPORTS-TAB,Reports,Informes
en.PS-TAB.SETTINGS-TAB,Settings,Configuración
en.PS-TAB.START-TASK,Start task,Iniciar tarea
en.PS-TAB.START-PROCESS,Start process,Iniciar proceso
en.PS-TAB.PROCESS-AUDIT-LOG,Process Audit log,Registro de auditoría de procesos
en.PS-TAB.TASK-AUDIT-LOG,Task Audit log,Registro de auditoría de tareas
en.PS-TAB.TASK-SHOW-HEADER,Show details header,Mostrar encabezado de detalles
en.PS_CLOUD_TAB.APPS_TAB,App,Aplicación
en.PS_CLOUD_TAB.SETTINGS_TAB,Settings,Configuración
en.FORM-LIST.STORE,Store,Almacenar
en.FORM-LIST.RESTORE,Restore,Restaurar
en.FORM-LOADING.FORM_DATA,Form Data,Datos del formulario
en.FORM-LOADING.FORM_DATA_MESSAGE,Enter values to populate the form,Introduzca valores para rellenar el formulario
en.FORM-LOADING.TYPEAHEAD_PLACEHOLDER,Typeahead,Predictivo
en.FORM-LOADING.RADIO_PLACEHOLDER,Radio Button,Botón de opción
en.FORM-LOADING.SELECT_PLACEHOLDER,DropDown,Desplegable
en.LOGIN.CONTENT_SERVICES,Content Services,Content Services
en.LOGIN.PROCESS_SERVICES,Process Services,Process Services
en.LOGIN.LOGIN_FOOTER,Login footer,Pie del inicio de sesión
en.LOGIN.SHOW_REMEMBERME,Show remember me,Mostrar opción para recordarme
en.LOGIN.SHOW_SUCCESS_ROUTE,Show success route,Mostrar ruta correcta
en.LOGIN.CUSTOM_LOGO,Custom Logo,Logotipo personalizado
en.SEARCH.RESULTS,Search results,Resultados de la búsqueda
en.SEARCH.NO_RESULT,No results found,Ningún resultado encontrado
en.SEARCH.FACET_FIELDS.TYPE,1:Type,1:Tipo
en.SEARCH.FACET_FIELDS.SIZE,2:Size,2:Tamaño
en.SEARCH.FACET_FIELDS.CREATOR,3:Creator,3:Creador
en.SEARCH.FACET_FIELDS.MODIFIER,4:Modifier,4:Modificador
en.SEARCH.FACET_FIELDS.CREATED,5:Created,5:Creados
en.SEARCH.FACET_QUERIES.MY_FACET_QUERIES,My facet queries,Mis consultas de faceta
en.SEARCH.FACET_QUERIES.CREATED_THIS_YEAR,1.Created This Year,1.Creadas este año
en.SEARCH.FACET_QUERIES.MIMETYPE,2.Type: HTML,2.Tipo: HTML
en.SEARCH.FACET_QUERIES.XTRASMALL,3.Size: xtra small,3.Tamaño: extrapequeño
en.SEARCH.FACET_QUERIES.SMALL,4.Size: small,4.Tamaño: pequeño
en.SEARCH.FACET_QUERIES.MEDIUM,5.Size: medium,5.Tamaño: mediano
en.SEARCH.FACET_QUERIES.LARGE,6.Size: large,6.Tamaño: grande
en.SEARCH.FACET_QUERIES.XTRALARGE,7.Size: xtra large,7.Tamaño: extragrande
en.SEARCH.FACET_QUERIES.XXTRALARGE,8.Size: XX large,8.Tamaño: extraextragrande
en.SOCIAL.LIKE,Like component,Componente Me gusta
en.SOCIAL.RATING,Rating component,Componente de calificación
en.TAG.LIST,List Tags Content Services,Lista de etiquetas de Content Services
en.TAG.INSERT,Insert Node ID,Insertar ID del nodo
en.TAG.NODE_LIST,Tag list By Node ID,Lista de etiquetas por ID de nodo
en.DEMO_PERMISSION.INHERIT_PERMISSION_BUTTON,Inherit Permission,Heredar permiso
en.DEMO_PERMISSION.INHERITED_PERMISSIONS_BUTTON,Permission Inherited,Permiso heredado
en.TASK_LIST_DEMO.ERROR_MESSAGE.APP_ID_REQUIRED_ERROR,Insert App ID,Insertar ID de aplicación
en.TASK_LIST_DEMO.ERROR_MESSAGE.APP_ID_TYPE_ERROR,App ID must be a number,El ID de aplicación debe ser un número
en.TASK_LIST_DEMO.ERROR_MESSAGE.NUMBER_TYPE_ERROR,Value must be a number,El valor debe ser un número
en.TASK_LIST_DEMO.ERROR_MESSAGE.NUMBER_GREATER_THAN,Value must be greater than or equal to {{ value }},El valor debe ser igual o superior a {{ value }}
en.TASK_LIST_DEMO.TOOLTIP_MESSAGE.START_INPUT,Starting page,Inicio de página
en.TASK_LIST_DEMO.TASK_CONTEXT_MENU,Task List Context Menu,Menú de contexto Lista de tareas
en.PROCESS_LIST_DEMO.ERROR_MESSAGE.APP_ID_REQUIRED_ERROR,Insert App ID,Insertar ID de aplicación
en.PROCESS_LIST_DEMO.ERROR_MESSAGE.APP_ID_TYPE_ERROR,App ID must be a number,El ID de aplicación debe ser un número
en.PROCESS_LIST_DEMO.ERROR_MESSAGE.NUMBER_GREATER_THAN,Value must be greater than or equal to {{ value }},El valor debe ser igual o superior a {{ value }}
en.PROCESS_LIST_DEMO.PROCESS_CONTEXT_MENU,Process List Context Menu,Menú de contexto Lista de procesos
en.GROUP-TITLE1-TRANSLATION-KEY,CUSTOM TITLE TRANSLATION ONE,Traducción de título personalizado 1
en.GROUP-TITLE2-TRANSLATION-KEY,CUSTOM TITLE TRANSLATION TWO,Traducción de título personalizado 2
en.ERROR_CONTENT.507.TITLE,ACS Disk full,Disco ACS lleno
en.ERROR_CONTENT.507.DESCRIPTION,Content exceeds overall storage quota limit configured for the network or system,El contenido supera el límite de la cuota de almacenamiento general configurado para la red o sistema.
en.ERROR_CONTENT.507.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en.PROCESS_LIST_CLOUD_DEMO.TITLE,PROCESS LIST CLOUD DEMO,PROCESS LIST CLOUD DEMO
en.PROCESS_LIST_CLOUD_DEMO.CUSTOMIZE_FILTERS,Customise your filter,Personalice su filtro
en.TASK_LIST_CLOUD_DEMO.CUSTOMIZE_FILTERS,Customise your filter,Personalice su filtro
en.PEOPLE_GROUPS_CLOUD.SINGLE,Single Selection,Selección individual
en.PEOPLE_GROUPS_CLOUD.MULTI,Multiple Selection,Selección múltiple
en.PEOPLE_GROUPS_CLOUD.PRESELECTED_VALUE,Preselect,Preseleccionar
en.PEOPLE_GROUPS_CLOUD.ROLE,Roles,Funciones
en.PEOPLE_GROUPS_CLOUD.APP_NAME,Application Name,Nombre de la aplicación
en.PEOPLE_GROUPS_CLOUD.APP_FILTER_MODE,Filter by application name,Filtrar por nombre de la aplicación
en.PEOPLE_GROUPS_CLOUD.ROLE_FILTER_MODE,Filter by role,Filtrar por función
en.PEOPLE_GROUPS_CLOUD.PRESELECT_VALIDATION,Preselect validation,Preseleccionar validación
en.PEOPLE_GROUPS_CLOUD.ALL_PRESELECTED_USERS,All Preselected Users,Todos los usuarios preseleccionados
en.PEOPLE_GROUPS_CLOUD.ALL_PRESELECTED_GROUPS,All Preselected Groups,Todos los grupos preseleccionados
en.PEOPLE_GROUPS_CLOUD.INVALID_USERS,Invalid Users,Usuarios no válidos
en.PEOPLE_GROUPS_CLOUD.INVALID_GROUPS,Invalid Groups,Grupos no válidos
en.PEOPLE_GROUPS_CLOUD.READONLY_MODE,Read-only Mode,Modo de solo lectura
en.SETTINGS_CLOUD.MULTISELECTION,Multiselection,Selección múltiple
en.SETTINGS_CLOUD.TESTING_MODE,Testing Mode,Modo de prueba
en.SETTINGS_CLOUD.SELECTION_MODE,Selection Mode,Modo de selección
en.SETTINGS_CLOUD.SELECTED_ROWS,Selected Rows,Filas seleccionadas
en.SETTINGS_CLOUD.TASK_DETAILS_REDIRECTION,Display task details on task click,Mostrar detalles de la tarea haciendo clic en la tarea
en.SETTINGS_CLOUD.PROCESS_DETAILS_REDIRECTION,Display process details on process click,Mostrar detalles del proceso al hacer clic en el proceso
en.SETTINGS_CLOUD.ACTION.ACTION_TITLE,Add Action,Añadir acción
en.SETTINGS_CLOUD.ACTION.ACTION_MENU,Action Menu,Menú de acción
en.SETTINGS_CLOUD.ACTION.CONTEX_MENU,Context Menu,Menú de contexto
en.SETTINGS_CLOUD.ACTION.ACTION_VISIBLE,Visible,Visible
en.SETTINGS_CLOUD.ACTION.ACTION_DISABLE,Disable,Desactivar
en.SETTINGS_CLOUD.ACTION.ADD_BUTTON,Add,Añadir
en.SETTINGS_CLOUD.ACTION.KEY,Key,Clave
en.SETTINGS_CLOUD.ACTION.TITLE,Title,Título
en.SETTINGS_CLOUD.ACTION.ICON,Icon,Icono
en.SETTINGS_CLOUD.ACTION.TASK_ID,Task ID,ID de tarea
en.SETTINGS_CLOUD.ACTION.PROCESS_ID,Process Instance ID,ID de instancia del proceso
en.SETTINGS_CLOUD.ACTION.ACTION_TYPE,Action Type,Tipo de acción
en_3.SAVE,SAVE,Guardar
en_3.COMPLETE,COMPLETE,Completar
en_3.CANCEL,CANCEL,Cancelar
en_3.CLAIM,CLAIM,Pedir
en_3.UNCLAIM,RELEASE,Liberar
en_3.START PROCESS,START PROCESS,Iniciar proceso
en_3.NOTIFICATIONS.NO_MESSAGE,No messages,No hay mensajes
en_3.NOTIFICATIONS.TITLE,Notifications,Notificaciones
en_3.NOTIFICATIONS.MARK_AS_READ,Mark all as read,Marcar todo como leído
en_3.NOTIFICATIONS.SYSTEM,System,Sistema
en_3.FORM.START_FORM.TITLE,Start Form,Iniciar formulario
en_3.FORM.PREVIEW.IMAGE_NOT_AVAILABLE,Preview not available,Vista previa no disponible
en_3.FORM.FIELD.LOCALSTORAGE,Local storage,Almacenamiento local
en_3.FORM.FIELD.SOURCE,Select source from ,Seleccionar origen de 
en_3.FORM.FIELD.SHOW_FILE,Show,Mostrar
en_3.FORM.FIELD.DOWNLOAD_FILE,Download,Descargar
en_3.FORM.FIELD.REMOVE_FILE,Remove,Eliminar
en_3.FORM.FIELD.UPLOAD,UPLOAD,Cargar
en_3.FORM.FIELD.REQUIRED,*Required,*Obligatorio
en_3.FORM.FIELD.NO_FILE_ATTACHED,No file attached,Sin fichero adjunto
en_3.FORM.FIELD.VALIDATOR.INVALID_NUMBER,Use a different number format,Utilizar un formato de número diferente
en_3.FORM.FIELD.VALIDATOR.INVALID_DATE,Use a different date format,Utilizar un formato de fecha diferente
en_3.FORM.FIELD.VALIDATOR.INVALID_VALUE,Enter a different value,Introducir un valor diferente
en_3.FORM.FIELD.VALIDATOR.NOT_GREATER_THAN,Can't be greater than {{ maxValue }},No puede ser mayor que {{ maxValue }}
en_3.FORM.FIELD.VALIDATOR.NOT_LESS_THAN,Can't be less than {{ minValue }},No puede ser menor que {{ minValue }}
en_3.FORM.FIELD.VALIDATOR.AT_LEAST_LONG,Enter at least {{ minLength }} characters,Introducir al menos {{ minLength }} caracteres
en_3.FORM.FIELD.VALIDATOR.NO_LONGER_THAN,Enter no more than {{ maxLength }} characters,No introducir más de {{ maxLength }} caracteres
en_3.FORM.FIELD.FILE_ALREADY_UPLOADED,A file with the same name is already uploaded.,Ya se ha cargado un fichero con el mismo nombre.
en_3.FORM.FORM_RENDERER.NAMELESS_TASK,Nameless task,Tarea sin nombre
en_3.CORE.HEADER.LOGO_ARIA,Company Logo,Logotipo de la empresa
en_3.CORE.HEADER.ACCESSIBILITY.SIDEBAR_TOGGLE_BUTTON_ARIA_LABEL,Toggle Menu,Alternar menú
en_3.CORE.FILE_SIZE.BYTES,Bytes,bytes
en_3.CORE.FILE_SIZE.KB,KB,KB
en_3.CORE.FILE_SIZE.MB,MB,MB
en_3.CORE.FILE_SIZE.GB,GB,GB
en_3.CORE.FILE_SIZE.TB,TB,TB
en_3.CORE.FILE_SIZE.PB,PB,PB
en_3.CORE.FILE_SIZE.EB,EB,EB
en_3.CORE.FILE_SIZE.ZB,ZB,ZB
en_3.CORE.FILE_SIZE.YB,YB,YB
en_3.CORE.PAGINATION.ARIA.ITEMS_PER_PAGE,Page size selector,Selector de tamaño de página
en_3.CORE.PAGINATION.ARIA.CURRENT_PAGE,Current page selector,Selector de tamaño actual
en_3.CORE.PAGINATION.ARIA.PREVIOUS_PAGE,Previous page button,Botón de página anterior
en_3.CORE.PAGINATION.ARIA.NEXT_PAGE,Next page button,Botón de página siguiente
en_3.CORE.PAGINATION.ITEMS_RANGE,Showing {{ range }} of {{ total }},Mostrando {{ range }} de {{ total }}
en_3.CORE.PAGINATION.ITEMS_PER_PAGE,Items per page,Elementos por página
en_3.CORE.PAGINATION.CURRENT_PAGE,Page {{ number }},Página {{ number }}
en_3.CORE.PAGINATION.TOTAL_PAGES,of {{ total }},de {{ total }}
en_3.CORE.DIALOG.DOWNLOAD_ZIP.ACTIONS.CANCEL,Cancel,Cancelar
en_3.CORE.DIALOG.DOWNLOAD_ZIP.TITLE,"Adding files to zip, this could take a few minutes",Añadiendo ficheros al zip; esto puede tardar unos minutos
en_3.CORE.DIALOG.EDIT_JSON.CLOSE,Close,Cerrar
en_3.CORE.DIALOG.EDIT_JSON.UPDATE,Update,Actualizar
en_3.CORE.FILE_DIALOG.FILE_LOCK,Lock file,Bloquear fichero
en_3.CORE.FILE_DIALOG.ALLOW_OTHERS_CHECKBOX,Allow the owner to modify this file,Permitir al propietario que modifique este fichero
en_3.CORE.FILE_DIALOG.FILE_LOCK_CHECKBOX,Lock file,Bloquear fichero
en_3.CORE.FILE_DIALOG.TIME_LOCK_CHECKBOX,Time lock,Duración del bloqueo
en_3.CORE.FILE_DIALOG.SAVE_BUTTON.LABEL,Save,Guardar
en_3.CORE.FILE_DIALOG.CANCEL_BUTTON.LABEL,Cancel,Cancelar
en_3.CORE.FOLDER_DIALOG.CREATE_FOLDER_TITLE,Create new folder,Crear nueva carpeta
en_3.CORE.FOLDER_DIALOG.EDIT_FOLDER_TITLE,Edit folder,Editar carpeta
en_3.CORE.FOLDER_DIALOG.FOLDER_NAME.LABEL,Name,Nombre
en_3.CORE.FOLDER_DIALOG.FOLDER_NAME.ERRORS.REQUIRED,Folder name is required,Se requiere un nombre de carpeta
en_3.CORE.FOLDER_DIALOG.FOLDER_NAME.ERRORS.SPECIAL_CHARACTERS,"Folder name can't contain these characters * "" < > \ / ? : |","El nombre de la carpeta no puede tener los caracteres * "" < > \ / ? : |"
en_3.CORE.FOLDER_DIALOG.FOLDER_NAME.ERRORS.ENDING_DOT,Folder name can't end with a period .,El nombre de la carpeta no puede terminar en punto .
en_3.CORE.FOLDER_DIALOG.FOLDER_NAME.ERRORS.ONLY_SPACES,Folder name can't contain only spaces,El nombre de la carpeta no puede tener solo espacios
en_3.CORE.FOLDER_DIALOG.FOLDER_DESCRIPTION.LABEL,Description,Descripción
en_3.CORE.FOLDER_DIALOG.CREATE_BUTTON.LABEL,Create,Crear
en_3.CORE.FOLDER_DIALOG.UPDATE_BUTTON.LABEL,Update,Actualizar
en_3.CORE.FOLDER_DIALOG.CANCEL_BUTTON.LABEL,Cancel,Cancelar
en_3.CORE.MESSAGES.ERRORS.GENERIC,The action was unsuccessful. Try again or contact your IT Team.,La acción no ha sido satisfactoria. Vuelva a intentarlo o póngase en contacto con el equipo de TI.
en_3.CORE.MESSAGES.ERRORS.EXISTENT_FOLDER,There's already a folder with this name. Try a different name.,Ya existe una carpeta con este nombre. Pruebe un nombre diferente.
en_3.CORE.RESTORE_NODE.VIEW,View,Ver
en_3.CORE.RESTORE_NODE.PARTIAL_PLURAL,{{ number }} items not restored because of issues with the restore location,{{ number }} elementos no se han restaurado debido a problemas con la ubicación de restauración
en_3.CORE.RESTORE_NODE.NODE_EXISTS,"Can't restore, {{ name }} item already exists","Error en la restauración, el elemento {{ name }} ya existe"
en_3.CORE.RESTORE_NODE.LOCATION_MISSING,"Can't restore {{ name }} item, the original location no longer exists","No se ha podido restaurar el elemento {{ name }}, la ubicación original ya no existe"
en_3.CORE.RESTORE_NODE.GENERIC,There was a problem restoring {{ name }} item,Error al restaurar el elemento {{ name }}
en_3.CORE.RESTORE_NODE.PLURAL,Restore successful,Restauración satisfactoria
en_3.CORE.RESTORE_NODE.SINGULAR,{{ name }} item restored,Elemento {{ name }} restaurado
en_3.CORE.DELETE_NODE.SINGULAR,{{ name }} deleted,{{ name }} eliminado
en_3.CORE.DELETE_NODE.PLURAL,{{ number }} items deleted,{{ number }} elementos eliminados
en_3.CORE.DELETE_NODE.PARTIAL_SINGULAR,"Deleted {{ success }} item, {{ failed }} couldn't be deleted","Se ha eliminado el elemento {{ success }}, {{ failed }} no se ha podido eliminar"
en_3.CORE.DELETE_NODE.PARTIAL_PLURAL,"Deleted {{ success }} items, {{ failed }} couldn't be deleted","Se han eliminado los elementos {{ success }}, {{ failed }} no se han podido eliminar"
en_3.CORE.DELETE_NODE.ERROR_SINGULAR,{{ name }} couldn't be deleted,{{ name }} no se ha podido eliminar
en_3.CORE.DELETE_NODE.ERROR_PLURAL,{{ number }} items couldn't be deleted,{{ number }} elementos no se han podido eliminar
