EN,Product,Context,AR,CZ,DA,DE,ES,FI,FR,IT,JA,NL,NB,PL,PT-BR,RU,SV,ZH-CN
Alfresco Digital Business Platform,ACS,Product name. Do not translate.,,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform,Alfresco Digital Business Platform
Alfresco Governance Services,ACS,Product name. Do not translate.,,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services,Alfresco Governance Services
Alfresco Index Engine,ACS,Product name. Do not translate.,,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine,Alfresco Index Engine
Alfresco Media Management,ACS,Product name. Do not translate.,,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management,Alfresco Media Management
Alfresco Media Transformation Engine,ACS,Product name. Do not translate.,,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine,Alfresco Media Transformation Engine
Alfresco Process Services (powered by Activiti),ACS,Product name. Do not translate.,,Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services (на базе Activiti),Alfresco Process Services (powered by Activiti),Alfresco Process Services（由 Activiti 提供支持）
Analytics App,APS,,,Aplikace pro analýzu,Analyseapp,Analytik-Anwendung,Aplicación de análisis,Analytiikkasovellus,Application Analyse,Applicazione di analisi,分析アプリ,Analytics App,Analyseapp,Aplikacja analityczna,Aplicativo de análise,Приложение для анализа данных,Analysprogram,报表与分析 APP
API (application program interface),ACS,"Do not translate, acronym best known in English",,rozhraní API,API (application program interface),API (application program interface),API (application program interface),API,API (application program interface),API (application program interface),API (application program interface),API (application program interface),API (application program interface),API (application program interface),API (application program interface),API (application program interface),API (application program interface),API (application program interface)
App,APS,,تطبيق,Aplikace,App,Anwendung,Aplicación,Sovellus,Application,Applicazione,アプリ,App,App,Aplikacja,Aplicativo,Приложение,Program,APP
App Store,ACS,Proper name. Do not translate.,,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store
Aspect,ACS,"An Aspect is a set/group of properties that you can assign to a file in order to give it a certain look and feel and/or add items. In Media Management, for example, WebVTT Aspect"" is used to provide captions or subtitles for video content""",,Aspekt,Aspekt,Aspekt,Aspecto,Ominaisuusjoukko,Aspect,Aspetto,アスペクト,Aspect,Aspekt,Aspekt,Aspecto,Аспект,Aspekt OR bredd-höjd-förhållande,切面
Assign,ACS,,تعيين,Pověřit/přiřadit,Tildel,Zuweisen,Asignar,Määritä,Assigner,Assegna,割り当て,Toewijzen,Tilordne,Przypisz,Atribuir,Назначить,Tilldela,指派
Assignee,ACS,,معين له,Pověřená osoba,Modtager,Zugewiesener Benutzer,Asignado a,Vastuuhenkilö,Personne assignée,Assegnatario,担当者,Toegewezen persoon,Tilordnet,Osoba przypisana,Destinatário,Исполнитель,Tilldelad användare,被指派者
Audit,RM,,تدقيق,Audit,Overvågning,Audit,Auditoría,Tarkastus,Audit,Audit,監査,Audit,Revisjon,Inspekcja,Auditoria,Аудит,Revision,审计
Audit log started,RM,,,Zahájen protokol auditu,Overvågningslog startet,Audit-Protokoll gestartet,Registro de auditorías iniciado,Tarkastusloki aloitettiin,Journal d'audit démarré,Log di audit avviato,監査ログが開始されました。,Auditlog gestart,Revisjonslogg startet,Dziennik inspekcji uruchomiony,Log de auditoria iniciado,Начата запись в журнал аудита,Granskningslogg startad,审计日志已启动。
Audit log stopped,RM,,,Zastaven protokol auditu,Overvågningslog stoppet,Audit-Protokoll gestoppt,Registro de auditorías detenido,Tarkastusloki lopetettiin,Journal d'audit arrêté,Log di audit interrotto,監査ログが停止されました。,Auditlog gestopt,Revisjonslogg stoppet,Dziennik inspekcji zatrzymany,Log de auditoria interrompido,Завершена запись в журнал аудита,Granskningslogg stoppad,审计日志已停止。
Auto-declare Options,RM,,خيارات التصريح التلقائي,Možnosti automatického deklarování,Indstillinger for automatisk deklaration,Optionen für automatische Deklaration,Opciones de declaración automática,Automaatti-ilmoitusasetukset,Options de déclaration automatique,Opzioni di dichiarazione automatica,自動宣言オプション,Opties voor automatisch declareren,Alternativer med automatiske erklæringer,Opcje automatycznej deklaracji,Opções de auto declaração,Параметры автоматического объявления,Alternativ för automatiska deklarationer,自动声明选项
Back,ACS,As in: Go back. Use according to context (Retour / Précédent),عودة,Zpět,Tilbage,Zurück,Volver,Takaisin,Retour,Indietro,戻る,Terug,Tilbake,Wstecz,Voltar,Back,Tillbaka,返回
Bend Point,APS,,,Místo ohybu,Bøjningspunkt,Winkelpunkt,Punto de flexión,Mutkapiste,Point d'inflexion,Punto di flesso,ベンドポイント,Knikpunten,Bøyepunkt,Punkt zgięcia,Ponto de curvatura,Точка изгиба,Böjpunkt,转折点
Bit Depth,RM,,,Bitová hloubka,Bitdybde,Bittiefe,Profundidad de bits,Bittimäärä,Profondeur de couleur,Profondità in bit,ビット深度,Bitdiepte,Bitdybde,Głębia bitowa,Intensidade de bit,Битовая глубина,Bitdjup,位深
Boundary,APS,,حدود,Hranice,Grænse,Grenzen,Límite,Raja,Limite,Boundary,境界,Boundary,Grense,Granica,Limite,Пограничный,Gräns,边界
BPMN Editor,APS,,,Editor BPMN,BPMN-editor,BPMN-Editor,Editor BPMN,BPMN-editori,Editeur BPMN,Editor BPMN,BPMN エディタ,BPMN Editor,BPMN-redaktør,Edytor BPMN,Editor de BPMN,Редактор BPMN,BPMN-editor,BPMN 编辑器
Browse,ACS,,استعراض,Procházet,Gennemse,Durchsuchen,Examinar,Selaa,Parcourir,Sfoglia,閲覧,Bladeren,Bla gjennom,Przeglądaj,Navegar,Обзор,Bläddra OR Bläddra i,浏览
Business Key,APS,,مفتاح أعمال,Obchodní klíč,Forretningsnøgle,Geschäftsschlüssel,Clave de negocio,Liiketoiminta-avain,Clé de métier,Chiave di business,ビジネスキー,Business key,Forretningsnøkkel,Klucz biznesowy,Chave de negócios,Бизнес-ключ,Affärsnyckel,商业 Key
Business Process Model,APS,,نموذج عملية أعمال,Model obchodních procesů,Forretningsprocesmodel,Geschäftsprozessmodelle,Modelos de proceso de negocio,Liiketoimintaprosessimalli,Modèles de processus métier,Modelli di processo di business,ビジネスプロセスモデル,Bedrijfsprocesmodellen,Forretningsprosessmodell,Model procesu biznesowego,Modelos de processo de negócios,Модели бизнес-процессов,Affärsprocessmodell,业务流程模型
Calendar,ACS,,تقويم,Kalendář,Kalender,Kalender,Calendario,Kalenteri,Calendrier,Calendario,カレンダー,Agenda,Kalender,Kalendarz,Calendário,Календарь,Kalender,日历
Candidate,APS,,مرشح,Kandidát,Kandidat,Kandidat,Candidato,Kandidaatti,Candidat,Candidato,候補,Kandidaten,Kandidat,Kandydat,Candidato,Кандидаты,Kandidat,候选者
Canvas,APS,,,Plátno,Lærred,Canvas,Lienzo,Alusta,Canevas,Area di lavoro,キャンバス,Canvas,Lerret,Kanwa,Quadro,Полотно,Arbetsyta,画布
Capabilities,APS,,,Schopnosti,Egenskaber,Funktionen,Capacidades,Toiminnot,Capacités,Funzioni,権限,Functies,Kapasiteter,Możliwości,Recursos,Возможности,Funktionaliteter,功能
Capture Date,RM,,تاريخ الالتقاط,Datum pořízení,Fotograferingsdato,Erfassungsdatum,Fecha de captura,Kirjauspäivämäärä,Date de capture,Data di acquisizione,キャプチャ日,Vastlegdatum,Opptaksdato,Data przechwycenia,Data de captura,Дата снимка,Upptagningsdatum,捕捉日期
Capture Method,RM,,,Způsob pořízení,Fotograferingsmetode,Erfassungsmethode,Método de captura,Kirjaustapa,Méthode de capture,Metodo di acquisizione,キャプチャ方法,Methode van vastleggen,Opptaksmetode,Metoda przechwycenia,Método de captura,Способ ввода,Upptagningsmetod,捕捉方法
Catching Events,APS,,رصد الأحداث,Události catch,Indfangningshændelse,Zwischenauffangereignisse,Eventos de captura,Sieppaustapahtumat,Evénements de capture,Eventi di rilevamento,中間キャッチイベント,Catching events,Fangehendelser,Zdarzenia przechwytujące,Eventos de captura,Промежуточные события-обработчики,Fångsthändelser,中间缓存事件
Child,ACS,As in: child node,فرعي,Podřízený,Underordnet,Untergeordnete Elemente,Subdirectorio,Alataso,Sous-répertoire,Figlio,子,Onderliggend element,Underordnede,Element podrzędny,Secundário,Дочерний элемент,Underordnad,子级
Claim,ACS,"Verb. As in: ""Claim a task"" (assume responsibility of the task in order to work on it)",مطالبة,Převzít,Gør krav på,Beanspruchen,Pedir,Varaa,S'attribuer,Richiedi,担当する,Claimen,Krev,Przejmij,Reivindicar,Принять,Anta,申领
Class,RM,,فئة,Třída,Klasse,Klasse,Clase,Luokka,Classe,Classe,クラス,Klasse,Klasse,Klasa,Classe,Класс,Klass,分类
Classification,RM,,تصنيف,Klasifikace,Klassifikation,Klassifizierung,Clasificación,Salaus,Classement,Classificazione,分類,Classificatie,Klassifisering,Klasyfikacja,Classificação,Засекречивание,Klassificering,分类
Classify,RM,,صنّف,Klasifikovat,Klassificer,Klassifizieren,Clasificar,Salaa,Classifier,Classifica,分類,Classificeren,Klassifiser,Utajnij,Classificar,Засекретить,Klassificera,分类
Clearance,RM,,ترخيص,Povolení,Godkendelse,Freigabe,Permiso,Oikeus,Autorisation,Nessun nulla osta,クリアランスなし,Machtiging,Klarering,Upoważnienie,Liberação,Не подлежит классификации,Godkännande,无间隙
Cluster,APS,,كتلة,Cluster,Cluster,Cluster,Clúster,Klusteri,Clusters,Cluster,クラスター,Clusters,Klynge,Klaster,Cluster,Кластеры,Kluster,群集
Collaborator,ACS,"Collaborator　　＊Group Name. This refers to a group/type of people that can work in a site as a ""Collaborator"" and has specific rights",معاون,Spolupracovník,Samarbejdspartner,Mitarbeiter,Colaborador,Yhteistyökumppani,Collaborateur,Collaboratore,共同作業者,Medewerker,Medarbeider,Współpracownik,Colaborador,Редактор,Medarbetare,合作者
Confidential,RM,,ري,Důvěrné,Fortrolig,Vertraulich,Confidencial,Luottamuksellinen,Confidentiel,Riservato,機密,Vertrouwelijk,Konfidensiell,Poufne,Confidencial,Конфиденциально,Konfidentiell,机密
Configuration,APS,,تكوين,Konfigurace,Konfiguration,Konfiguration,Configuración,Määritykset,Configuration,Configurazione,設定,Configuratie,Konfigurasjon,Konfiguracja,Configuração,Конфигурация,Konfiguration,配置
Constraint,RM,,قيد,Omezení,Begrænsning,Randbedingung,Restricción,Rajoitus,Contrainte,Vincolo,制約,Beperking,Restriksjon,Ograniczenie,Reserva,Ограничение,Restriktion,限制
Consumer,ACS,,مستهلك,Spotřebitel,Forbruger,Verbraucher,Consumidor,Kuluttaja,Lecteur,Consumatore,利用者,Consument,Forbruker,Konsument,Consumidor,Читатель,Förbrukare OR Konsument,使用者
Content Management System,RM,,,Systém pro správu obsahu,Content Management System,Content Management System,Sistema de gestión de contenidos,Sisällönhallintajärjestelmä,Système de gestion de contenu,Sistema di gestione dei contenuti,コンテンツ管理システム,Content Management System,Innholdsforvaltningssystem,System zarządzania treścią,Sistema de gerenciamento de conteúdo,Система управления содержимым,Innehållshanteringssystem,内容管理系统
Content Model,RM,,نموذج المحتوى,Model obsahu,Indholdsmodel,Content-Modell,Modelo de contenido clasificado,Sisältömalli,Modèle de contenu,Modello di contenuto classificato,分類されたコンテンツモデル,Model content,Innholdsmodell,Model treści,Modelo de conteúdo classificado,Модель засекреченного содержимого,Innehållsmodell,已分类内容模型
Contributor,ACS,"Contributor　　Group Name, as in: Contributor to a site",مساهم,Přispěvatel,Bidragyder,Beitragender,Contribuidor,Osallistuja,Contributeur,Contributore,投稿者,Bijdrager,Bidragsyter,Współautor,Contribuidor,Писатель,Deltagare,贡献者
Create Hold,RM,,إنشاء ملكية,Vytvořit blokování,Opret venteposition,Sperrbereich erstellen,Crear bloqueo,Luo pito,Créer une suspension,Crea sospensione,ホールドの作成,Wachtstand maken,Opprett hold,Utwórz magazyn,Criar espera,Создать удержание,Skapa begränsning,创建保存
Create/Modify/Destroy,RM,,إنشاء/تعديل /تدمير,Vytvořit/upravit/odstranit,Opret/modificer/destruer,erstellen//ändern//vernichten,Crear / Modificar / Destruir,"Luo, muokkaa tai tuhoa",Créer/ Modifier / Détruire,Crea/Modifica/Elimina definitivamente,役割の作成/変更/破棄,maken / aanpassen / vernietigen,Opprett / Endre / Destruer,"Utwórz, zmodyfikuj lub zniszcz",Criar / Modificar / Destruir,"Создать, / изменить, / уничтожить",Skapa/Modifiera/Förstöra,创建修改销毁角色
Custom Metadata,RM,,بيانات وصفية  مخصصة,Uživatelská metadata,Brugerdefinerede metadata,Benutzerdefinierte Metadaten,Metadatos personalizados,Mukautetut metatiedot,Métadonnées personnalisées,Metadati personalizzati,カスタムメタデータ,Aangepaste metagegevens,Tilpassede metadata,Metadane niestandardowe,Metadados personalizados,Нестандартные метаданные,Anpassad metadata,自定义元数据
Custom Model,RM,,نموذج مخصص,Uživatelský model,Brugerdefineret model,Benutzerdefiniertes Modell,Modelo personalizado,Mukautettu malli,Modèle personnalisé,Modello personalizzato,カスタムモデル,Aangepast model,Tilpassede modell,Model niestandardowy,Modelo personalizado,Пользовательская модель,Anpassad modell,自定义型号
Custom Property,RM,,خاصية مخصصة,Uživatelská vlastnost,Brugerdefineret egenskab,Benutzerdefinierte Eigenschaften,Propiedades personalizadas,Mukautettu ominaisuus,Propriétés personnalisées,Proprietà personalizzate,カスタムプロパティ,Aangepaste eigenschappen,Tilpassede egenskaper,Właściwość niestandardowa,Propriedades personalizadas,Специальные свойства,Anpassade egenskap,自定义属性
Cut off,RM,,حد التوقف,Oddělit,Afskæring,Trennen,Interrumpe,Leikkaus,Début de conservation,Cut off,カットオフ,Afsluiten,Cut off,Wyeliminować,Cortar,Отключить,Avskilja,中断
Dashboard,ACS,,لوحة معلومات,Řídicí panel,Dashboard,Mein Dashboard,Panel de Inicio,Koontinäyttö,Mon tableau de bord,Pannello di controllo,ダッシュボード,Dashboard,Dashbord,Pulpit nawigacyjny,Painel,Главная страница,Instrumentpanel,仪表板
Data Set,RM,,مجموعة البيانات,Sada dat,Datasæt,Datensatz,Conjunto de datos,Tietojoukko,Ensemble de données,Set di dati,データセット,Gegevensverzameling,Datasett,Zestaw danych,Conjunto de dados,Массив данных,Dataset,数据集
Database,ACS,,,Databáze,Database,Datenbank,Base de datos,Tietokanta,Base de données,Database,データベース,Database,Database,Baza danych,Banco de dados,База данных,Databas,数据库
Decision Table Editor,APS,,,Editor rozhodovací tabulky,Beslutningstabeleditor,Entscheidungstabellen-Editor,Editor de tablas de decisiones,Päätöstaulukkoeditori,Editeur de table de décision,Editor tabella decisioni,意思決定表エディタ,Beslissingstabel Editor,Beslutningstabellredaktør,Edytor tabeli decyzji,Editor de tabelas de decisão,Редактор таблицы принятия решения,Beslutstabelleditor,决策表编辑器
Decision Tables,APS,,,Rozhodovací tabulky,Beslutningstabeller,Entscheidungstabellen,Tablas de decisiones,Päätöstaulukot,Tables de décision,Tabelle decisioni,意思決定表,Beslissingstabellen,Beslutningstabeller,Tabele decyzji,Tabelas de decisão,Таблицы принятия решения,Beslutstabeller,决策表
Declare As Record,RM,,إعلان كسجل,Deklarovat jako záznam,Deklarer som post,Als Record deklarieren,Declarar como documento de archivo,Ilmoita tietueena,Déclarer comme document d'archives,Dichiara come record,レコードとして宣言する,Declareren als record,Erklær som oppføring,Zadeklaruj jako rekord,Declarar como documento arquivístico,Объявить как запись,Deklarera som handling,声明为记录
Declassify,RM,,إلغاء تصنيف السرية,Deklasifikovat,Deklassificer,Deklassifizieren,Desclasificar,Poista salaus,Déclassifier,Declassifica,分類解除,Classificatie opheffen,Deklassifisere,Odtajnij,Desclassificar,отменить засекречивание,Avklassificera,取消分类
Deep Lock,ACS,,,Hluboké uzamčení,Dyb lås,Deep Lock,Bloqueo profundo,Syvälukitus,Verrou profond,Deep Lock,ディープロック,Deep Lock,Dyp lås,Blokada głęboka,Bloqueio total,Глубокая блокировка,Djupt lås,深度锁定
Default,ACS,,افتراضي,Výchozí,Standard,Standard,Predeterminado,Oletus,Défaut,Predefinito,デフォルト,Standaard,Standard,Domyślny,Padrão,По умолчанию,Standard,默认值
Delegate,APS,Verb,تفويض,Delegovat,Deleger,Delegieren,Delegar,Delegoi,Déléguer,Delegare,委任する,Delegeren,Delegere,Deleguj,Delegar,Делегировать,Delegera,委派
Deployments,APS,,توزيعات,Nasazení,Udrulninger,Deployments,Despliegues,Käyttöönotot,Déploiements,Dispiegamenti,デプロイ,Deployments,Implementeringer,Wdrożenia,Implantações,Развертывания,Installationer,部署
Design,APS,,تصميم,Design,Design,Design,Diseñar,Malli,Conception,Progetto,作成,Ontwerp,Design,Projekt,Criar,Проект,Designa,设计
Destroy Record,RM,,تدمير السجل,Odstranit záznam,Destruer post,Records vernichten,Destruir documentos de archivo,Tuhoa tietue,Détruire des documents d'archives,Elimina definitivamente record,レコードの破棄,Records vernietigen,Destruer oppføringer,Zniszcz rekord,Destruir documentos arquivísticos,Уничтожить записи,Förstöra handling,销毁记录
Destruction report,RM,,,Zpráva o odstranění,Destrueringsrapport,Vernichtungsprotokoll,Informe de destrucción,Tuhoamisraportti,Rapport de destruction,Rapporto di eliminazione definitiva,破棄レポート,Vernietigingsrapport,Destruksjonsrapport,Raport ze zniszczenia,Relatório de destruição,Отчет об уничтожении,Förstörelserapport,销毁报告
Digital Photograph Record,RM,,,Záznam digitální fotografie,Post for digitalt foto,Record - Digitales Bild,Documento de archivo fotográfico digital,Digikuvatietue,Document d'archives de photographie numérique,Record fotografia digitale,デジタル写真レコード,Digitale fotorecord,Digital bildeoppføring,Cyfrowy rekord fotograficzny,Documento arquivístico fotográfico digital,Запись в виде цифровой фотографии,Digital fotohandling,数码照片记录
Directories,ACS,As in: User Directories,,Adresáře,Mapper,Verzeichnisse,Directorios,Hakemistot,Annuaires,Directory,ディレクトリ,Mappen,Kataloger,Katalogi,Diretórios,Каталоги,Kataloger,目录
Document Library,ACS,,مكتبة المستندات,Knihovna dokumentů,Dokumentbibliotek,Dokumentenbibliothek,Biblioteca de documentos,Asiakirjakirjasto,Espace documentaire,Raccolta documenti,文書ライブラリ,Documentbibliotheek,Dokumentbibliotek,Biblioteka dokumentów,Biblioteca de documentos,Библиотека документов,Dokumentbibliotek,文档库
Download,ACS,,تنزيل,Stáhnout,Download,Herunterladen,Descargar,Lataa,Télécharger,Scarica,ダウンロード,Downloaden,Last ned,Pobierz,Download,Скачать,Ladda ner,下载
Edit Metadata,RM,,,Upravit metadata,Rediger metadata,Metadaten bearbeiten,Editar metadatos,Muokkaa metatietoja,Modifier les métadonnées,Modifica metadati,メタデータの編集,Metagegevens bewerken,Rediger metadata,Edytuj metadane,Editar metadados,Редактировать метаданные,Redigera metadata,编辑元数据
Editor,APS,,محرر,Editor,Editor,Editor,Editor,Editori,Editeur,Editor,エディタ,Editor,Redaktør,Edytor,Editor,Редактор,Editor,编辑器
Email,ACS,,بريد إلكتروني,E-mail,E-mail,E-Mail,Correo electrónico,Sähköposti,Email,E-mail,E メール,E-mail,E-post,E-mail,Email,Электронная почта,E-post,电子邮件
Email Address,ACS,,عنوان بريد إلكتروني,E-mailová adresa,E-mailadresse,E-Mail-Adresse,Dirección de correo electrónico,Sähköpostiosoite,Adresse email,Indirizzo e-mail,E メールアドレス,E-mailadres,E-postadresse,Adres e-mail,Endereço de email,Адрес электронной почты,E-postadress,电子邮件地址
Email mappings,RM,,تخطيطات البريد الإلكتروني,Mapování e-mailů,E-mailtilknytninger,E-Mail-Zuordnungen,Asignaciones de correo electrónico,Sähköpostiyhdistämismääritykset,Configurations courriels,Mapping e-mail,E メールマッピング,E-mailtoewijzingen,E-postkoblinger,Mapowania e-mail,Mapeamentos de e-mail,Сопоставления с полями электронной почты,E-postmappningar,电子邮件映射
Encoding,ACS,,ترميز,Kódování,Kodning,Zeichencodierung,Codificación,Koodaus,Encodage,Codifica,エンコーディング,Codering,Koding,Kodowanie,Codificação,Кодировка,Kodning,编码
Endpoint,ACS,,,Koncový bod,Slutpunkt,Endpunkt,Destino,Päätepiste,Destination,Endpoint,エンドポイント,Eindpunt,Endepunkt,Punkt końcowy,Endpoint,Конечная точка,Ändpunkt,端点
Endpoint Host,ACS,,,Hostitel koncového bodu,Slutpunktsvært,Endpunkt-Host,Servidor de destino,Päätepisteisäntä,Hôte de destination,Host endpoint,エンドポイントホスト,Eindpunthost,Endepunktvert,Host punktu końcowego,Host de endpoint,Хост конечной точки,Ändpunktsvärd,端点主机
Enterprise (subscription level),ACS,Product name. Do not translate.,,Enterprise (subscription level),Enterprise (subscription level),Enterprise (subscription level),Enterprise (subscription level),Enterprise (subscription level),Enterprise (subscription level),Enterprise (subscription level),Enterprise (サブスクリプションレベル),Enterprise (subscription level),Enterprise (subscription level),Enterprise (poziom subskrypcji),Enterprise (nível de assinatural),Enterprise (уровень подписки),Enterprise (subscription level),企业（订阅级别）
Event Execution,RM,,تنفيذ الحدث,Provedení události,Hændelsesudførelse,Ereignisausführung,Ejecución de evento,Tapahtumasuoritus,Exécution de l'événement,Esecuzione evento,イベントの実行,Gebeurtenisuitvoering,Utførelse av hendelse,Wykonanie zdarzenia,Execução do evento,Выполнение события,Utförande av händelse,事件执行
Event Listener,APS,,,Naslouchání události,Lyttefunktion for hændelse,Ereignis-Listener,Detectores de eventos,Tapahtumakuuntelija,Ecouteur d'événements,Listener di evento,イベントリスナー,Event listener,Hendelseslyttere,Odbiornik zdarzeń,Listener de eventos,Слушатели события,Händelselyssnare,事件监听器
Events,APS,,,Události,Hændelser,Ereignisse,Eventos,Tapahtumat,Evénements,Eventi,イベント,Events,Hendelser,Zdarzenia,Eventos,События,Händelser,事件
Execution Listener,APS,,,Naslouchání provedení,Lyttefunktion for udførelse,Ausführungs-Listener,Detector de eventos de ejecución,Suorituskuuntelija,Ecouteur d'exécution,Listener di esecuzione,実行リスナー,Execution listeners,Utførelseslyttere,Odbiornik wykonania,Listener de execução,Слушатели выполнения,Utförandelyssnare,Execution 监听器
Favorited,APS,,مفضل,Oblíbené,Angivet som favorit,Zu den Favoriten hinzugefügt,Marcado como favorito,Lisätty suosikkeihin,Favori,Preferito,お気に入りに登録,Favorieten,Favoritt,Ulubione,Marcado como favorito,Добавленные в избранное,Favoritmarkerad,已收藏
File,ACS,"Noun. As in: a saved file, a new file. Please note that this translation must different from the translation of Archive""""",ملف,Soubor,Fil,Datei,Fichero,Tiedosto,Fichier,File,ファイル,Bestand,Fil,Plik,Arquivo,Файл,Fil,文件
File Plan,RM,"A classification scheme describing different types of files maintained in an office, how they are identified, where they should be stored, how they should be indexed for retrieval, and a reference to the approved disposition for each file",خطة الملف,Klasifikace souborů,Filplan,Ablageplan,Cuadro de clasificación,Aktien luokitusjärjestelmä,Plan de classement,Piano di fascicolazione,整理保管プラン,Ordeningsplan,Filplan,Plan plików,Plano de arquivamento,Классификационная схема,Arkiveringsplan,归类方案
