String ID,enu,Comment
admin-console.admin-console.tool.admin-log-settings.description,View and Update Logger Settings., 
admin-console.admin-console.tool.admin-activesessions.label,Active Sessions, 
admin-console.admin-console.tool.admin-activesessions.description,View and administer active user sessions., 
admin-console.admin-console.tool.admin-alfresco-hotthreads.label,Hot Threads, 
admin-console.admin-console.tool.admin-alfresco-hotthreads.description,Generate Hot Threads report., 
admin-console.admin-console.tool.admin-alfresco-threaddump.label,Thread Dump, 
admin-console.admin-console.tool.admin-alfresco-threaddump.description,Generate Thread Dump report., 
admin-console.admin-console.tool.admin-alfresco-threadprofiler.label,Thread Profiler, 
admin-console.admin-console.tool.admin-alfresco-threadprofiler.description,Generate Thread Profiler report., 
admin-console.admin-console.tool.admin-alfresco-threadsampler.label,Thread Sampler, 
admin-console.admin-console.tool.admin-alfresco-threadsampler.description,Generate Thread Sampler report., 
admin-console.admin-console.tool.admin-patchesapplied.label,Patches Applied, 
admin-console.admin-console.tool.admin-patchesapplied.description,View list of applied repository patches., 
admin-console.admin-console.tool.admin-performance.label,System Performance, 
admin-console.admin-console.tool.admin-performance.description,System Performance view., 
admin-console.admin-console.tool.admin-scheduledjobs.label,Scheduled Jobs, 
admin-console.admin-console.tool.admin-scheduledjobs.description,View and administer scheduled jobs., 
admin-inboundemail.get.inboundemail.title,Inbound Email, 
admin-inboundemail.get.inboundemail.intro-text,Users can add content to the repository by email (SMTP). Use the following options to enable (or disable) inbound emails via SMTP and configure who can send them and how they are handled., 
admin-inboundemail.get.inboundemail.instruction-link,"See <a href=""http://docs.alfresco.com/{0}/concepts/email-inboundsmtp-props.html"" target=""_blank"">Inbound Email</a> for more details.", 
admin-inboundemail.get.inboundemail.inbound-email,Inbound Email, 
admin-inboundemail.get.inboundemail.inbound-email.enabled,Enabled, 
admin-inboundemail.get.inboundemail.inbound-email.enabled.description,Enable or disable the inbound email service., 
admin-inboundemail.get.inboundemail.inbound-email.anonymous-username,Unknown User, 
admin-inboundemail.get.inboundemail.inbound-email.anonymous-username.description,Specify the user name that the email will be authenticated as if the sender address cannot be matched to an existing user email., 
admin-inboundemail.get.inboundemail.inbound-email.allowed-senders,Allowed Senders, 
admin-inboundemail.get.inboundemail.inbound-email.allowed-senders.description,"To allow only specified senders enter a comma-separated list of email REGEX patterns, for example: .*\\@hotmail\\.com, .*\\@googlemail\\.com. The sender email address must match a listed value for the message to be accepted.", 
admin-inboundemail.get.inboundemail.inbound-email.overwrite-duplicates,Overwrite Duplicates, 
admin-inboundemail.get.inboundemail.inbound-email.overwrite-duplicates.description,By default duplicate messages to a folder will overwrite each other. Deselect to number and keep duplicate messages., 
admin-inboundemail.get.inboundemail.inbound-email.maximum-server-connections,Maximum Server Connections, 
admin-inboundemail.get.inboundemail.inbound-email.maximum-server-connections.description,The maximum number of connections allowed. Increase this number to prioritize the email subsystem over other subsystems. The default setting is 3., 
admin-inboundemail.get.inboundemail.inbound-email.smtp-authentication-enabled,SMTP Authentication Enabled, 
admin-inboundemail.get.inboundemail.inbound-email.smtp-authentication-enabled.description,Enable or disable the authentication of inbound email against the repository., 
admin-inboundemail.get.inboundemail.inbound-email.email-server-port,Email Server Port, 
admin-inboundemail.get.inboundemail.inbound-email.email-server-port.description,The port number for the email server. The default is 25., 
admin-inboundemail.get.inboundemail.inbound-email.email-server-domain,Email Server Domain, 
admin-inboundemail.get.inboundemail.inbound-email.email-server-domain.description,The default domain for the email server., 
admin-inboundemail.get.inboundemail.inbound-email.blocked-senders,Blocked Senders, 
admin-inboundemail.get.inboundemail.inbound-email.blocked-senders.description,"To block senders enter a comma-separated list of email REGEX patterns, for example: .*\\@hotmail\\.com, .*\\@googlemail\\.com. If the sender email address matches a listed value, then the message will be rejected.", 
admin-inboundemail.get.inboundemail.inbound-email.email-contributors-authority,Email Authentication Group, 
admin-inboundemail.get.inboundemail.inbound-email.email-contributors-authority.description,Users must be a member of this group to add content to the repository by email. The default group is EMAIL_CONTRIBUTORS., 
admin-inboundemail.get.inboundemail.transport-layer-security,Transport Layer Security (TLS), 
admin-inboundemail.get.inboundemail.transport-layer-security.description,"TLS protocol upgrades a plain text connection to an encrypted TLS or SSL connection instead of using a separate port for encrypted communication. Select whether TLS support is enabled, disabled, hidden, or required.", 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support,TLS Support, 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.description,"You must configure a Java keystore to enable TLS support for inbound email. See <a href=""http://docs.alfresco.com/{0}/concepts/troubleshoot-inboundemail.html"" target=""_blank"">SMTP inbound email using StartTLS</a> for more details.", 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.disabled,Disabled, 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.disabled.description,Disabled: TLS support is disabled., 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.hidden,Hidden, 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.hidden.description,"Hidden: On the EHLO command, server support for TLS is hidden, though TLS will still be accepted if the client uses it.", 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.enabled,Enabled, 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.enabled.description,"Enabled: On the EHLO command, server support for TLS is announced.", 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.required,Required, 
admin-inboundemail.get.inboundemail.transport-layer-security.tls-support.required.description,Required: TLS authentication is required., 
admin-outboundemail-test.get.test.outboundemail.title,Test Outbound Email, 
admin-outboundemail-test.get.test.outboundemail.waiting,Waiting for test results., 
admin-outboundemail-test.get.test.outboundemail.success,Email sent successfully., 
admin-outboundemail-test.get.test.outboundemail.fail,Email not sent. Please see error description below., 
admin-outboundemail-test.get.test.outboundemail.error,Error Description, 
admin-outboundemail.get.outboundemail.title,Outbound Email, 
admin-outboundemail.get.outboundemail.intro-text,"The outbound email service manages and runs all emails sent to users, such as site invites, activity notifications, and workflow tasks. Use the settings on this page to configure outbound email properties.", 
admin-outboundemail.get.outboundemail.instruction-link,"See <a href=""http://docs.alfresco.com/{0}/concepts/email-outboundsmtp-props.html"" target=""_blank"">Outbound Email</a> for more details.", 
admin-outboundemail.get.outboundemail.outboundemail,Outbound Email, 
admin-outboundemail.get.outboundemail.outboundemail.hostname,Hostname, 
admin-outboundemail.get.outboundemail.outboundemail.hostname.description,The name of the SMTP(S) host server., 
admin-outboundemail.get.outboundemail.outboundemail.encoding,Encoding, 
admin-outboundemail.get.outboundemail.outboundemail.encoding.description,The email encoding type. The default is UTF-8., 
admin-outboundemail.get.outboundemail.outboundemail.from-enabled,Editable Sender Address, 
admin-outboundemail.get.outboundemail.outboundemail.from-enabled.description,If selected then the From field in outbound emails can be edited to differ from the Default Sender's Address. If deselected then the Default Sender's Address will always be used. You should deselect this option if your email server security settings require the From field to match the user name used for email server authentication., 
admin-outboundemail.get.outboundemail.outboundemail.email-server-port,Email Server Port, 
admin-outboundemail.get.outboundemail.outboundemail.email-server-port.description,The port number for the email server. The default is 25., 
admin-outboundemail.get.outboundemail.outboundemail.default-senders-address,Default Sender's Address, 
admin-outboundemail.get.outboundemail.outboundemail.default-senders-address.description,The default address that is used in the From field of outbound emails if no alternative is available., 
admin-outboundemail.get.outboundemail.protocol-and-authentication,Protocol and Authentication, 
admin-outboundemail.get.outboundemail.protocol-and-authentication.description,Use the settings in this section to select from SMTP and SMTPS as the protocol to be used for outbound email., 
admin-outboundemail.get.outboundemail.protocol-and-authentication.email-protocol,Email Protocol, 
admin-outboundemail.get.outboundemail.protocol-and-authentication.email-protocol.description,Select the protocol to be used when sending email., 
admin-outboundemail.get.outboundemail.protocol-and-authentication.email-protocol.smtp,SMTP, 
admin-outboundemail.get.outboundemail.protocol-and-authentication.email-protocol.smtps,SMTPS, 
admin-outboundemail.get.outboundemail.protocol-and-authentication.user-name,Username, 
admin-outboundemail.get.outboundemail.protocol-and-authentication.user-name.description,The account user name that connects to the SMTP server. The user name and password are only required if your server requires them for authentication., 
admin-outboundemail.get.outboundemail.protocol-and-authentication.password,Password, 
admin-outboundemail.get.outboundemail.protocol-and-authentication.password.description,The user account password., 
admin-outboundemail.get.outboundemail.smtp-setup,SMTP Setup, 
admin-outboundemail.get.outboundemail.smtp-setup.description,Use these settings if you selected SMTP as the email protocol., 
admin-outboundemail.get.outboundemail.smtp-setup.smtp-authentication-required,SMTP Authentication Required, 
admin-outboundemail.get.outboundemail.smtp-setup.smtp-authentication-required.description,"If enabled, the user name and password entered above will be used for authentication with your remote email server.", 
admin-outboundemail.get.outboundemail.smtp-setup.start-smtp-tls-enable,Start SMTP TLS Enable, 
admin-outboundemail.get.outboundemail.smtp-setup.start-smtp-tls-enable.description,Enables Transport Layer Security. This may be required by the remote email server., 
admin-outboundemail.get.outboundemail.smtp-setup.smtp-timeout,SMTP Timeout, 
admin-outboundemail.get.outboundemail.smtp-setup.smtp-timeout.description,Timeout value in milliseconds. The default is 30000., 
admin-outboundemail.get.outboundemail.smtp-setup.smtp-debug,SMTP Debug, 
admin-outboundemail.get.outboundemail.smtp-setup.smtp-debug.description,Enables additional diagnostics for troubleshooting the email connection., 
admin-outboundemail.get.outboundemail.smtps-setup,SMTPS Setup, 
admin-outboundemail.get.outboundemail.smtps-setup.description,Use these settings if you selected SMTPS as the email protocol., 
admin-outboundemail.get.outboundemail.smtps-setup.smtps-authentication-required,SMTPS Authentication Required, 
admin-outboundemail.get.outboundemail.smtps-setup.smtps-authentication-required.description,"If enabled, the user name and password entered above will be used for authentication with your remote email server.", 
admin-outboundemail.get.outboundemail.smtps-setup.start-smtps-tls-enable,Start SMTPS TLS Enable, 
admin-outboundemail.get.outboundemail.smtps-setup.start-smtps-tls-enable.description,Enables Transport Layer Security. This may be required by the remote email server., 
admin-outboundemail.get.outboundemail.test-message,Test Message, 
admin-outboundemail.get.outboundemail.test-message.description,These settings define if and how test messages are sent., 
admin-outboundemail.get.outboundemail.test-message.send-test-message-on-startup,Send Test Message on Startup, 
admin-outboundemail.get.outboundemail.test-message.send-test-message-on-startup.description,Select to send a test message when the outbound email service starts., 
admin-outboundemail.get.outboundemail.test-message.subject,Subject, 
admin-outboundemail.get.outboundemail.test-message.subject.description,The test message subject., 
admin-outboundemail.get.outboundemail.test-message.to,To, 
admin-outboundemail.get.outboundemail.test-message.to.description,The test message recipient., 
admin-outboundemail.get.outboundemail.test-message.message,Message, 
admin-outboundemail.get.outboundemail.test-message.message.description,The message body of the test message., 
admin-outboundemail.get.outboundemail.test-message.send-test-message,Send Test Message, 
admin-license-apply.get.apply.license.title,Apply New License, 
admin-license-apply.get.apply.license.intro-text,Applies a new license that is stored on the file system. Does not apply if the server has a license uploaded to the repository. You may need to restart the server to enable any features added in the new license., 
admin-license-apply.get.apply.license.waiting,Applying license, 
admin-license-apply.get.apply.license.error,The license was not applied due to an unknown error., 
admin-license-upload.get.upload.license.title,Upload New License, 
admin-license-upload.get.upload.license.intro-text,Upload a new license from your browser and apply to the repository. This will take precedence over license files on the file system. You may need to restart the server to enable any features added in the new license., 
admin-license-upload.get.upload.button.upload,Upload, 
admin-license-upload.get.upload.placeholder,Upload, 
admin-license-upload.get.upload.license.waiting,Uploading license, 
admin-license-upload.get.upload.license.error,The license was not uploaded due to an unknown error., 
admin-license-upload.get.upload.license.fail,The license was not applied due to an error with the uploaded file., 
admin-license-upload.get.upload.license.reload-fail,The license was not applied due to an error with the license file and the existing license has failed to reload., 
admin-license-upload.get.upload.license.success,The license was successfully uploaded and applied to the repository., 
admin-license.get.license.title,License, 
admin-license.get.license.intro-text,"Your access and use of Alfresco Content Services is managed by your license. The license sets the maximum number of users and a maximum number of content objects that you can use. The license is not tied to specific servers, for example, by IP or MAC address. You need to purchase and upload licenses appropriate to the number of users, content objects, and your support requirements.", 
admin-license.get.license.license-subject,License, 
admin-license.get.license.license-subject.description,Licensed Alfresco Content Services version., 
admin-license.get.license.license-mode,License Type, 
admin-license.get.license.license-mode.description,Type of license issued., 
admin-license.get.license.issued,Issued, 
admin-license.get.license.issued.description,Date license was issued., 
admin-license.get.license.license-holder,License Holder, 
admin-license.get.license.license-holder.description,Name of license holder. This should be your company name., 
admin-license.get.license.days,Days, 
admin-license.get.license.days.description,Number of days that your license covers., 
admin-license.get.license.issuer,Issuer, 
admin-license.get.license.issuer.description,Original location where the license was generated., 
admin-license.get.license.license-restrictions,License Restrictions, 
admin-license.get.license.license-restrictions.valid-until,Valid Until, 
admin-license.get.license.license-restrictions.valid-until.description,Date and time when your license will expire., 
admin-license.get.license.license-restrictions.max-users,Max Users, 
admin-license.get.license.license-restrictions.max-users.description,Number of authorized users that you can have for your license., 
admin-license.get.license.license-restrictions.remaining-days,Remaining Days, 
admin-license.get.license.license-restrictions.remaining-days.description,Days remaining before your license expires., 
admin-license.get.license.license-restrictions.max-content-objects,Max Content Objects, 
admin-license.get.license.license-restrictions.max-content-objects.description,"Maximum number of content objects that you can have in your Alfresco Content Services system. Content objects are items such as documents and related thumbnails, wiki items, and blog posts.", 
admin-license.get.license.license-restrictions.unlimited,Unlimited, 
admin-license.get.license.license-usage-information,License Usage Information, 
admin-license.get.license.license-usage-information.users,Users, 
admin-license.get.license.license-usage-information.users.description,The current number of users in the system. If the maximum number of users is unlimited then the current users will also be shown as unlimited. If the maximum number of users is updated then the current users may show as pending until the system updates., 
admin-license.get.license.license-usage-information.content-items,Content Items, 
admin-license.get.license.license-usage-information.content-items.description,The current number of content objects in the system. If the maximum number of objects is unlimited then the current objects will also be shown as unlimited. If the maximum number of objects is updated then the current objects may show as pending until the system updates., 
admin-license.get.license.license-usage-information.pending,Pending, 
admin-license.get.license.system-heartbeat,System Heartbeat, 
admin-license.get.license.system-heartbeat.heart-beat,Heart Beat, 
admin-license.get.license.system-heartbeat.heart-beat-disabled,Heart Beat Disabled, 
admin-license.get.license.system-heartbeat.heart-beat-disabled.description,Shows whether your license allows the heartbeat functionality to be disabled. If disabled then automatic repository statistics are not sent., 
admin-license.get.license.cloud-sync,Cloud Sync, 
admin-license.get.license.cloud-sync.cloud-sync-enabled,Cloud Sync, 
admin-license.get.license.cloud-sync.cloud-sync-enabled.description,Shows whether your license allows synchronization to Alfresco Content Services in the Cloud., 
admin-license.get.license.cluster,Repository Server Clustering, 
admin-license.get.license.cluster.cluster-enabled,Clustering Permitted, 
admin-license.get.license.cluster.cluster-enabled.description,Shows whether your license allows clustering., 
admin-license.get.license.cryptodoc,Encrypted Content Store, 
admin-license.get.license.cryptodoc.cryptodoc-enabled,Encrypting Permitted, 
admin-license.get.license.cryptodoc.cryptodoc-enabled.description,Shows whether your license allows use of the encrypted content store., 
admin-license.get.license.license-management,License Management, 
admin-license.get.license.license-management.description,A license is required to run your Alfresco Content Services server once the trial period has expired. You have the option to store your license in the repository or on the file system. Licenses in the repository take precedence over those on the file system., 
admin-license.get.license.license-management.help-link,"See <a href=""http://docs.alfresco.com/{0}/tasks/at-adminconsole-license.html"" target=""_blank"">Uploading a new license</a> for more details.", 
admin-license.get.license.license-management.upload-license,Upload License, 
admin-license.get.license.license-management.upload-license.description,Upload a new license from your browser and apply to the repository., 
admin-license.get.license.license-management.apply-new-license,Apply New License, 
admin-license.get.license.license-management.apply-new-license.description,Apply a new license that is stored on the file system. Does not apply if the server has a license uploaded to the repository., 
admin-license.get.license.license-error,License Error, 
admin-license.get.license.license-error.description,The allowable user limit of {0} as per your license agreement has been exceeded.  There are currently {1} users in the system. Please contact your Alfresco sales representative to purchase additional user licenses., 
admin-license.get.license.license-warning,License Warning, 
admin-license.get.license.license-warning.description,"The allowable user limit of {0} for your license agreement has been reached. There are {1} users in the system, {2} are temporarily permitted. Please contact your Alfresco sales representative to purchase additional user licenses.", 
admin-license.get.license.license-info,License Information, 
admin-license.get.license.license-info.description,The allowable user limit of {0} as per your license agreement is being approached.  There are {1} users in the system. Please contact your Alfresco sales representative to purchase additional user licenses., 
admin-repositoryinfo.get.repositoryinfo.title,Repository Information, 
admin-repositoryinfo.get.repositoryinfo.intro-text,The Repository Information shows details of the originally installed repository and the current version. The values will be the same if the system has not been upgraded., 
admin-repositoryinfo.get.repositoryinfo.current-install,Repository Information - Current Install, 
admin-repositoryinfo.get.repositoryinfo.current-install.Id,ID, 
admin-repositoryinfo.get.repositoryinfo.current-install.Id.description,Unique identifier for this repository version., 
admin-repositoryinfo.get.repositoryinfo.current-install.VersionNumber,Version Number, 
admin-repositoryinfo.get.repositoryinfo.current-install.VersionLabel,Version Label, 
admin-repositoryinfo.get.repositoryinfo.current-install.Schema,Schema, 
admin-repositoryinfo.get.repositoryinfo.current-install.VersionBuild,Build, 
admin-repositoryinfo.get.repositoryinfo.original-install,Repository Information - Originally Installed, 
admin-repositoryinfo.get.repositoryinfo.original-install.Id,ID, 
admin-repositoryinfo.get.repositoryinfo.original-install.Id.description,Unique identifier for this repository version., 
admin-repositoryinfo.get.repositoryinfo.original-install.VersionNumber,Version Number, 
admin-repositoryinfo.get.repositoryinfo.original-install.VersionLabel,Version Label, 
admin-repositoryinfo.get.repositoryinfo.original-install.Schema,Schema, 
admin-repositoryinfo.get.repositoryinfo.original-install.VersionBuild,Build, 
admin-systemsettings.get.systemsettings.title,System Settings, 
admin-systemsettings.get.systemsettings.intro-text,"The system settings are a combination of your server settings, the Alfresco Content Services repository settings, and the Alfresco Share settings.", 
admin-systemsettings.get.systemsettings.alfresco-application.description,These settings can only be changed via the <code>alfresco-global.properties</code> file., 
admin-systemsettings.get.systemsettings.instruction-link,"See <a href=""http://docs.alfresco.com/{0}/concepts/cmd-line-config.html"" target=""_blank"">Command line configuration</a> for more details.", 
admin-systemsettings.get.systemsettings.alfresco-application,Alfresco Content Services Repository Settings, 
admin-systemsettings.get.systemsettings.alfresco-application.repository-context,Repository Context, 
admin-systemsettings.get.systemsettings.alfresco-application.repository-context.description,The context path of the Alfresco Content Services web application URL. The default is alfresco., 
admin-systemsettings.get.systemsettings.alfresco-application.repository-hostname,Repository Hostname, 
admin-systemsettings.get.systemsettings.alfresco-application.repository-hostname.description,The externally resolvable hostname of the Alfresco Content Services web application. The default value is ${localname}. If the default value is used the token ${localname} will be automatically replaced by the domain name of the repository server., 
admin-systemsettings.get.systemsettings.alfresco-application.protocol,Protocol, 
admin-systemsettings.get.systemsettings.alfresco-application.protocol.description,The protocol component of the Alfresco Content Services web application. The default is http. HTTPS support requires additional configuration within the host application server - see your application server documentation for details., 
admin-systemsettings.get.systemsettings.alfresco-application.port,Port, 
admin-systemsettings.get.systemsettings.alfresco-application.port.description,The externally resolvable port number of the Alfresco Content Services web application URL. The default is 8080., 
admin-systemsettings.get.systemsettings.server-settings,Server Settings, 
admin-systemsettings.get.systemsettings.server-settings.server-allow-writes,Server Allow Writes, 
admin-systemsettings.get.systemsettings.server-settings.server-allow-writes.description,Indicates that the repository will allow write operations (provided that the license is valid)., 
admin-systemsettings.get.systemsettings.server-settings.allowed-users,Allowed Users, 
admin-systemsettings.get.systemsettings.server-settings.allowed-users.description,"By default, this field is empty and all users can log in. Enter a comma-separated list of users to allow only those users to log in. If a list is entered that does not contain the current user, the current user will be added automatically.", 
admin-systemsettings.get.systemsettings.server-settings.maxium-users,Maximum Users, 
admin-systemsettings.get.systemsettings.server-settings.maxium-users.description,The maximum number of simultaneous users allowed to log in. The default setting of -1 means there are an unlimited number of users allowed., 
admin-systemsettings.get.systemsettings.share-application,Share Application Settings, 
admin-systemsettings.get.systemsettings.share-application.share-context,Share Context, 
admin-systemsettings.get.systemsettings.share-application.share-context.description,The context path of the Share web application URL. The default is share., 
admin-systemsettings.get.systemsettings.share-application.share-hostname,Share Hostname, 
admin-systemsettings.get.systemsettings.share-application.share-hostname.description,The externally resolvable host name of the Share web application URL. The default value is ${localname}., 
admin-systemsettings.get.systemsettings.share-application.site-public-group,Site Public Group, 
admin-systemsettings.get.systemsettings.share-application.site-public-group.description,The group name that users need to be a member of to access Public sites. The default is GROUP_EVERYONE which contains all users., 
admin-systemsettings.get.systemsettings.share-application.protocol,Protocol, 
admin-systemsettings.get.systemsettings.share-application.protocol.description,The protocol component of the Share web application. The default is http. HTTPS support requires additional configuration within the host application server - see your application server documentation for details., 
admin-systemsettings.get.systemsettings.share-application.port,Port, 
admin-systemsettings.get.systemsettings.share-application.port.description,The externally resolvable port number of the Share web application URL. The default is 8080., 
admin-activitiesfeed.get.activitiesfeed.title,Activities Feed, 
admin-activitiesfeed.get.activitiesfeed.intro-text,"If enabled, Activities Feed emails are sent to all users, summarizing the activities they see in their My Activities dashlet. Emails include activities in all sites they are a member of, and by people they are following. You can set the frequency with which these emails are sent, the maximum number of activities they contain, and the maximum age of the activities.", 
admin-activitiesfeed.get.activitiesfeed.feed-notifier-enabled,Activity Feed Enabled, 
admin-activitiesfeed.get.activitiesfeed.feed-notifier-enabled.description,Enable/disable activity notifications to users via email., 
admin-activitiesfeed.get.activitiesfeed.cronExpression,Frequency CRON Expression, 
admin-activitiesfeed.get.activitiesfeed.cronExpression.description,Specifies a cron expression which defines the frequency with which users will receive Activities Feed emails. Emails are only sent if there are new activities since the last email. By default this is every 24 hours at midnight., 
admin-activitiesfeed.get.activitiesfeed.maximum-size,Maximum Number, 
admin-activitiesfeed.get.activitiesfeed.maximum-size.description,The maximum number of activities that are reported on in the Activities dashlets and Activities Feed emails., 
admin-activitiesfeed.get.activitiesfeed.maximum-age,Maximum Age (mins), 
admin-activitiesfeed.get.activitiesfeed.maximum-age.description,The maximum age of the activities shown in the Activities Feed emails. Activities older than the maximum age are not shown. The default setting is 44640 (a 31-day month)., 
admin-clustering-test.get.clustering-test.title,Cluster Validation, 
admin-clustering-test.get.clustering-test.intro-text,"Cluster validation performs a check to ensure the cluster communcations are working correctly. All cluster members should show success status for a cluster to be considered validated. If one server fails in a two-server cluster, then both will be marked as having failed. Failure usually indicates network connectivity issues between the failing servers.", 
admin-clustering-test.get.clustering-test.results,Results, 
admin-clustering-test.get.clustering-test.nodes,Nodes, 
admin-clustering-test.get.clustering-test.success,Success, 
admin-clustering-test.get.clustering-test.failure,Failure, 
admin-clustering-test.post.clustering-test.message.notenabled,Clustering is not enabled on this server., 
admin-clustering-test.post.clustering-test.message.onenode,There is only one node in the cluster. Two or more nodes are required to test connectivity., 
admin-clustering.get.clustering.title,Repository Server Clustering, 
admin-clustering.get.clustering.intro-text,Servers connected to the same database instance are usually clustered automatically. In most cases no additional configuration is necessary., 
admin-clustering.get.clustering.instruction-link,"See <a href=""http://docs.alfresco.com/{0}/concepts/ha-intro.html"" target=""_blank"">Setting up high availability systems</a> for more details.", 
admin-clustering.get.clustering.connected-host,Host Server, 
admin-clustering.get.clustering.connected-host.HostName,Server Name, 
admin-clustering.get.clustering.connected-host.HostName.description,The server that you are currently connected to., 
admin-clustering.get.clustering.connected-host.ClusteringEnabled,Cluster, 
admin-clustering.get.clustering.connected-host.IPAddress,IP Address, 
admin-clustering.get.clustering.connected-host.IPAddress.description,The server IP address., 
admin-clustering.get.clustering.connected-host.ClusterName,Cluster ID, 
admin-clustering.get.clustering.connected-host.unlicensed,Clustering is not enabled on the license., 
admin-clustering.get.clustering.cluster-members,Cluster Members, 
admin-clustering.get.clustering.cluster-members.NumClusterMembers,Number of Members, 
admin-clustering.get.clustering.cluster-members.ClusterMembers,Server Details, 
admin-clustering.get.clustering.offline-cluster-members,Offline Cluster Members, 
admin-clustering.get.clustering.offline-cluster-members.OfflineMembers,Server Details, 
admin-clustering.get.clustering.offline-cluster-members.remove,Remove from list, 
admin-clustering.get.clustering.offline-cluster-members.remove.error,The server could not be removed from the list., 
admin-clustering.get.clustering.offline-cluster-members.remove.error.badrequest,The host IP or port is missing, 
admin-clustering.get.clustering.offline-cluster-members.remove.error.seelog,See the logs for further details., 
admin-clustering.get.clustering.connected-nonclustered-servers,Connected Non-Clustered Server(s), 
admin-clustering.get.clustering.connected-nonclustered-servers.NonClusteredServers,Server Details, 
admin-clustering.get.clustering.connected-nonclustered-servers.NonClusteredServers.description,"Alfresco Content Services servers can be connected to the same database and not be members of the repository cluster. This may be expected when servers are configured for specific situations, such as dedicated indexing servers. If a non-clustered server is listed that should be clustered then there is a problem with the cluster configuration.", 
admin-clustering.get.clustering.column.host.name,Server, 
admin-clustering.get.clustering.column.host.ip,IP, 
admin-clustering.get.clustering.column.host.port,Port, 
admin-clustering.get.clustering.column.last.registered,Last Registered, 
admin-clustering.get.clustering.button.validate-cluster,Validate Cluster, 
admin-flocs-manage.get.flocs.manage.title,Index Server Shard Management, 
admin-flocs-manage.get.flocs.manage.intro-text,"To ensure that your index server shard management is successful, you should read the documentation throughly before adding new shard instances or groups.<p> You can create both individual shards and shard groups. You first need to select one or more target index servers from the existing index servers. You can also create new index servers. <p> Then enter the properties for the new group or shard.", 
